frequency,json,num_netcdf_files,timesteps,dims,kerchunk_time,netcdf_time
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/mon/CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1.historical.r14i1p1f2.Amon.tas.gr.v20191004.kerchunk.json,1,1980,"{'time': 1980, 'lat': 128, 'lon': 256, 'axis_nbounds': 2}",0.5189495849772356,0.1653154970263131
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp119/mon/CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp119.r6i1p1f1.Amon.tas.gr.v20191122.kerchunk.json,1,1032,"{'time': 1032, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",0.7038835160201415,0.23787276598159224
Amon,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-present/mon/CMIP6.HighResMIP.ECMWF.ECMWF-IFS-HR.highresSST-present.r5i1p1f1.Amon.pr.gr.v20181119.kerchunk.json,50,618,"{'lat': 361, 'bnds': 2, 'lon': 720, 'time': 618}",0.6667745240265504,4.4315251360530965
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp126/mon/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp126.r139i1p1f1.Amon.tas.gr.v20210615.kerchunk.json,86,1032,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 1032}",0.668246157001704,7.595435937982984
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp119/mon/CMIP6.ScenarioMIP.EC-Earth-Consortium.EC-Earth3.ssp119.r114i1p1f1.Amon.tas.gr.v20200412.kerchunk.json,86,1032,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 1032}",0.28697894798824564,7.761698250018526
Amon,/global/cfs/projectdirs/m4931/kerchunk/ta/piControl/mon/CMIP6.CMIP.E3SM-Project.E3SM-1-0.piControl.r1i1p1f1.Amon.ta.gr.v20220109.kerchunk.json,20,6000,"{'lat': 180, 'bnds': 2, 'lon': 360, 'time': 6000, 'plev': 19}",0.3180044619948603,4.84777876897715
Amon,/global/cfs/projectdirs/m4931/kerchunk/tas/ssp370/mon/CMIP6.ScenarioMIP.IPSL.IPSL-CM6A-LR.ssp370.r1i1p1f1.Amon.tas.gr.v20190119.kerchunk.json,1,1032,"{'time': 1032, 'lat': 143, 'lon': 144, 'axis_nbounds': 2}",0.29224794800393283,0.23170965898316354
Amon,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-present/mon/CMIP6.HighResMIP.MIROC.NICAM16-9S.highresSST-present.r1i1p1f1.Amon.pr.gr.v20190830.kerchunk.json,11,132,"{'lat': 1280, 'bnds': 2, 'lon': 2560, 'time': 132}",0.20403894799528643,1.316005090950057
Amon,/global/cfs/projectdirs/m4931/kerchunk/pr/highresSST-present/mon/CMIP6.HighResMIP.IPSL.IPSL-CM6A-ATM-HR.highresSST-present.r1i1p1f1.Amon.pr.gr.v20190122.kerchunk.json,1,780,"{'time': 780, 'lat': 361, 'lon': 512, 'axis_nbounds': 2}",0.2387456739670597,0.5606939650024287
Amon,/global/cfs/projectdirs/m4931/kerchunk/ta/historical/mon/CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r143i1p1f1.Amon.ta.gr.v20200412.kerchunk.json,45,540,"{'lat': 256, 'bnds': 2, 'lon': 512, 'time': 540, 'plev': 19}",0.32296291302191094,6.0814905549632385
