dataset_id,data_dir,kerchunk_file,frequency,variable,kerchunk_exists,status,skip_reason,error,netcdf_file_count,nfiles_bin,bin_selected_rank,remote_kerchunk_file,client_hostname,cache_mode,open_kerchunk,load_kerchunk,temporal_build_kerchunk,temporal_compute_kerchunk,spatial_build_kerchunk,spatial_compute_kerchunk,temporal_graph_tasks_kerchunk,size_gb_physical,open_ratio,load_ratio,temporal_compute_ratio,spatial_compute_ratio
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.hur.gn.v20181218,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/hur/gn/v20181218,/global/cfs/projectdirs/m4931/kerchunk/hur/1pctCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.hur.gn.v20181218.kerchunk.json,Amon,hur,True,ok,,,151,150-199,1,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/hur/1pctCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.hur.gn.v20181218.kerchunk.json,nid007143,warm,3.419426423992263,28.87794613550068,0.573156005499186,28.321689543503453,0.8038614175020484,25.596471793498495,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.hus.gn.v20181218,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/hus/gn/v20181218,/global/cfs/projectdirs/m4931/kerchunk/hus/1pctCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.hus.gn.v20181218.kerchunk.json,Amon,hus,True,ok,,,151,150-199,3,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/hus/1pctCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.hus.gn.v20181218.kerchunk.json,nid007143,warm,3.3460498889908195,22.232156980986474,0.5079132195096463,25.781983547494747,0.6235922775085783,25.268022214993834,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.huss.gn.v20191015,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/huss/gn/v20191015,/global/cfs/projectdirs/m4931/kerchunk/huss/1pctCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.huss.gn.v20191015.kerchunk.json,Amon,huss,True,ok,,,151,150-199,5,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/huss/1pctCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.huss.gn.v20191015.kerchunk.json,nid007143,warm,2.699517148997984,2.9509288655099226,0.8112794030021178,3.5674904579936992,1.0861836969997967,4.164182744003483,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.pr.gn.v20191015,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/pr/gn/v20191015,/global/cfs/projectdirs/m4931/kerchunk/pr/1pctCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.pr.gn.v20191015.kerchunk.json,Amon,pr,True,ok,,,151,150-199,7,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/pr/1pctCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.pr.gn.v20191015.kerchunk.json,nid007143,warm,1.0709798875177512,2.482928099008859,1.011840689490782,3.5441174504958326,0.7403859030018793,3.6501425845053745,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.psl.gn.v20181218,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/1pctCO2/r1i1p1f1/Amon/psl/gn/v20181218,/global/cfs/projectdirs/m4931/kerchunk/psl/1pctCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.psl.gn.v20181218.kerchunk.json,Amon,psl,True,ok,,,151,150-199,9,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/psl/1pctCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.1pctCO2.r1i1p1f1.Amon.psl.gn.v20181218.kerchunk.json,nid007143,warm,0.9528522384935059,2.3020029659965076,0.32781544199679047,3.3610067544941558,0.3358378234988777,3.398686511995038,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.hur.gn.v20181218,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/hur/gn/v20181218,/global/cfs/projectdirs/m4931/kerchunk/hur/abrupt-4xCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.hur.gn.v20181218.kerchunk.json,Amon,hur,True,ok,,,151,150-199,2,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/hur/abrupt-4xCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.hur.gn.v20181218.kerchunk.json,nid007143,warm,3.50190746851149,21.86214627449226,0.5837011385010555,25.893113387501216,0.9083899519901024,24.86536417649768,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.hus.gn.v20181218,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/hus/gn/v20181218,/global/cfs/projectdirs/m4931/kerchunk/hus/abrupt-4xCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.hus.gn.v20181218.kerchunk.json,Amon,hus,True,ok,,,151,150-199,4,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/hus/abrupt-4xCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.hus.gn.v20181218.kerchunk.json,nid007143,warm,3.50153599451005,21.995619283014094,0.4657525499933399,25.701209694481804,1.94987263699295,25.095775946509093,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.huss.gn.v20191015,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/huss/gn/v20191015,/global/cfs/projectdirs/m4931/kerchunk/huss/abrupt-4xCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.huss.gn.v20191015.kerchunk.json,Amon,huss,True,ok,,,151,150-199,6,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/huss/abrupt-4xCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.huss.gn.v20191015.kerchunk.json,nid007143,warm,1.1962559164967388,2.8165415414987365,0.5055193485022755,3.4073893605091143,0.34606378500757273,3.880987295502564,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.pr.gn.v20191015,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/pr/gn/v20191015,/global/cfs/projectdirs/m4931/kerchunk/pr/abrupt-4xCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.pr.gn.v20191015.kerchunk.json,Amon,pr,True,ok,,,151,150-199,8,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/pr/abrupt-4xCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.pr.gn.v20191015.kerchunk.json,nid007143,warm,0.9599613994942047,2.4083661935001146,0.34055057700606994,3.4865142979979282,0.3399204405141063,3.659326267486904,,,,,,
CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.psl.gn.v20181218,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/psl/gn/v20181218,/global/cfs/projectdirs/m4931/kerchunk/psl/abrupt-4xCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.psl.gn.v20181218.kerchunk.json,Amon,psl,True,ok,,,151,150-199,10,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/psl/abrupt-4xCO2/mon/CMIP6.CMIP.AWI.AWI-CM-1-1-MR.abrupt-4xCO2.r1i1p1f1.Amon.psl.gn.v20181218.kerchunk.json,nid007143,warm,0.9828749200096354,2.2432673485018313,0.3277118570113089,3.3647213545045815,0.34896907850634307,3.393275298498338,,,,,,
