dataset_id,data_dir,kerchunk_file,frequency,variable,kerchunk_exists,status,skip_reason,error,netcdf_file_count,nfiles_bin,bin_selected_rank,remote_kerchunk_file,client_hostname,cache_mode,open_kerchunk,load_kerchunk,temporal_build_kerchunk,temporal_compute_kerchunk,spatial_build_kerchunk,spatial_compute_kerchunk,temporal_graph_tasks_kerchunk,size_gb_physical,open_ratio,load_ratio,temporal_compute_ratio,spatial_compute_ratio
CMIP6.CMIP.MIROC.MIROC6.abrupt-4xCO2.r1i1p1f1.Amon.ta.gn.v20190705,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/Amon/ta/gn/v20190705,/global/cfs/projectdirs/m4931/kerchunk/ta/abrupt-4xCO2/mon/CMIP6.CMIP.MIROC.MIROC6.abrupt-4xCO2.r1i1p1f1.Amon.ta.gn.v20190705.kerchunk.json,Amon,ta,True,ok,,,25,25-49,4,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/ta/abrupt-4xCO2/mon/CMIP6.CMIP.MIROC.MIROC6.abrupt-4xCO2.r1i1p1f1.Amon.ta.gn.v20190705.kerchunk.json,nid006855,warm,1.41307168250205,3.2714792565093376,0.5105587555008242,4.840671526515507,1.063547262994689,4.661932491988409,,,,,,
CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.piControl.r1i1p1f1.Amon.huss.gn.kerchunk.json,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Amon/huss/gn/v20190920,/global/cfs/projectdirs/m4931/kerchunk/huss/piControl/mon/CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.piControl.r1i1p1f1.Amon.huss.gn.kerchunk.json,Amon,huss,True,ok,,,25,25-49,1,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/huss/piControl/mon/CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.piControl.r1i1p1f1.Amon.huss.gn.kerchunk.json,nid006855,warm,2.966791338985786,5.11111511150375,0.6874564629979432,5.338947583004483,1.5107027699996252,6.5957169989997055,,,,,,
CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.piControl.r1i1p1f1.Amon.pr.gn.v20190920,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Amon/pr/gn/v20190920,/global/cfs/projectdirs/m4931/kerchunk/pr/piControl/mon/CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.piControl.r1i1p1f1.Amon.pr.gn.v20190920.kerchunk.json,Amon,pr,True,ok,,,25,25-49,3,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/pr/piControl/mon/CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.piControl.r1i1p1f1.Amon.pr.gn.v20190920.kerchunk.json,nid006855,warm,1.8608883364940993,2.5894066155015025,0.5029592384962598,4.259218178485753,1.093873606499983,4.183802529500099,,,,,,
CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.piControl.r1i1p1f1.Amon.ta.gn.v20190920,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Amon/ta/gn/v20190920,/global/cfs/projectdirs/m4931/kerchunk/ta/piControl/mon/CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.piControl.r1i1p1f1.Amon.ta.gn.v20190920.kerchunk.json,Amon,ta,True,ok,,,25,25-49,7,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/ta/piControl/mon/CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.piControl.r1i1p1f1.Amon.ta.gn.v20190920.kerchunk.json,nid006855,warm,2.5219192240037955,36.03656448799302,0.5677093000122113,41.31811508949613,0.919545182492584,39.475829466988216,,,,,,
CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.piControl.r1i1p1f1.Amon.tas.gn.v20190920,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Amon/tas/gn/v20190920,/global/cfs/projectdirs/m4931/kerchunk/tas/piControl/mon/CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.piControl.r1i1p1f1.Amon.tas.gn.v20190920.kerchunk.json,Amon,tas,True,ok,,,25,25-49,10,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/tas/piControl/mon/CMIP6.CMIP.MOHC.HadGEM3-GC31-MM.piControl.r1i1p1f1.Amon.tas.gn.v20190920.kerchunk.json,nid006855,warm,1.1040132394991815,3.3818568825081456,0.43600297850207426,4.175681336506386,0.36964517449087,5.148891517004813,,,,,,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.esm-piControl.r1i1p1f1.Amon.pr.gn.v20190815,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/esm-piControl/r1i1p1f1/Amon/pr/gn/v20190815,/global/cfs/projectdirs/m4931/kerchunk/pr/esm-piControl/mon/CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.esm-piControl.r1i1p1f1.Amon.pr.gn.v20190815.kerchunk.json,Amon,pr,True,ok,,,25,25-49,2,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/pr/esm-piControl/mon/CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.esm-piControl.r1i1p1f1.Amon.pr.gn.v20190815.kerchunk.json,nid006855,warm,2.714876827012631,2.131937010010006,0.6458004020096269,3.674658815492876,1.1428564760135487,3.551170350983739,,,,,,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.esm-piControl.r1i1p1f1.Amon.ta.gn.v20190815,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/esm-piControl/r1i1p1f1/Amon/ta/gn/v20190815,/global/cfs/projectdirs/m4931/kerchunk/ta/esm-piControl/mon/CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.esm-piControl.r1i1p1f1.Amon.ta.gn.v20190815.kerchunk.json,Amon,ta,True,ok,,,25,25-49,5,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/ta/esm-piControl/mon/CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.esm-piControl.r1i1p1f1.Amon.ta.gn.v20190815.kerchunk.json,nid006855,warm,1.643749017996015,2.771775551009341,0.602066637511598,4.455087045993423,1.3375092990172561,4.36408832098823,,,,,,
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.esm-piControl.r1i1p1f1.Amon.tas.gn.v20190815,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/esm-piControl/r1i1p1f1/Amon/tas/gn/v20190815,/global/cfs/projectdirs/m4931/kerchunk/tas/esm-piControl/mon/CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.esm-piControl.r1i1p1f1.Amon.tas.gn.v20190815.kerchunk.json,Amon,tas,True,ok,,,25,25-49,8,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/tas/esm-piControl/mon/CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.esm-piControl.r1i1p1f1.Amon.tas.gn.v20190815.kerchunk.json,nid006855,warm,1.0729543624911457,3.0464140660042176,0.3630156200088095,3.780232963486924,0.3868751049885759,4.52945119549986,,,,,,
CMIP6.CMIP.NCC.NorESM2-LM.esm-piControl.r1i1p1f1.Amon.ta.gn.v20190920,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/NCC/NorESM2-LM/esm-piControl/r1i1p1f1/Amon/ta/gn/v20190920,/global/cfs/projectdirs/m4931/kerchunk/ta/esm-piControl/mon/CMIP6.CMIP.NCC.NorESM2-LM.esm-piControl.r1i1p1f1.Amon.ta.gn.v20190920.kerchunk.json,Amon,ta,True,ok,,,25,25-49,6,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/ta/esm-piControl/mon/CMIP6.CMIP.NCC.NorESM2-LM.esm-piControl.r1i1p1f1.Amon.ta.gn.v20190920.kerchunk.json,nid006855,warm,1.6227651859953767,2.8430981285200687,0.5283768655062886,4.05230705300346,0.9667584400012856,4.144289816482342,,,,,,
CMIP6.CMIP.NCC.NorESM2-LM.esm-piControl.r1i1p1f1.Amon.tas.gn.v20190920,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/NCC/NorESM2-LM/esm-piControl/r1i1p1f1/Amon/tas/gn/v20190920,/global/cfs/projectdirs/m4931/kerchunk/tas/esm-piControl/mon/CMIP6.CMIP.NCC.NorESM2-LM.esm-piControl.r1i1p1f1.Amon.tas.gn.v20190920.kerchunk.json,Amon,tas,True,ok,,,25,25-49,9,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/tas/esm-piControl/mon/CMIP6.CMIP.NCC.NorESM2-LM.esm-piControl.r1i1p1f1.Amon.tas.gn.v20190920.kerchunk.json,nid006855,warm,1.172934507500031,2.897837256488856,0.44859821400314104,3.4383761459903326,0.6781150125025306,4.1624419644940645,,,,,,
