dataset_id,data_dir,kerchunk_file,frequency,variable,kerchunk_exists,status,skip_reason,error,netcdf_file_count,nfiles_bin,bin_selected_rank,remote_kerchunk_file,client_hostname,cache_mode,open_kerchunk,load_kerchunk,temporal_build_kerchunk,temporal_compute_kerchunk,spatial_build_kerchunk,spatial_compute_kerchunk,temporal_graph_tasks_kerchunk,size_gb_physical,open_ratio,load_ratio,temporal_compute_ratio,spatial_compute_ratio
CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.hus.gn.v20190105,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-HR4/hist-1950/r1i1p1f1/Amon/hus/gn/v20190105,/global/cfs/projectdirs/m4931/kerchunk/hus/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.hus.gn.v20190105.kerchunk.json,Amon,hus,True,failed,,"ReferenceNotReachable: Reference ""lat/0"" failed to fetch target https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-HR4/hist-1950/r1i1p1f1/Amon/hus/gn/v20190105/hus_Amon_CMCC-CM2-HR4_hist-1950_r1i1p1f1_gn_196906-196906.nc",780,750-1000,1,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/hus/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.hus.gn.v20190105.kerchunk.json,nid006762,warm,,,,,,,,,,,,
CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.huss.gn.v20190105,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-HR4/hist-1950/r1i1p1f1/Amon/huss/gn/v20190105,/global/cfs/projectdirs/m4931/kerchunk/huss/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.huss.gn.v20190105.kerchunk.json,Amon,huss,True,failed,,"ReferenceNotReachable: Reference ""lat/0"" failed to fetch target https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-HR4/hist-1950/r1i1p1f1/Amon/huss/gn/v20190105/huss_Amon_CMCC-CM2-HR4_hist-1950_r1i1p1f1_gn_198909-198909.nc",780,750-1000,3,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/huss/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.huss.gn.v20190105.kerchunk.json,nid006762,warm,,,,,,,,,,,,
CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.pr.gn.v20190105,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-HR4/hist-1950/r1i1p1f1/Amon/pr/gn/v20190105,/global/cfs/projectdirs/m4931/kerchunk/pr/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.pr.gn.v20190105.kerchunk.json,Amon,pr,True,ok,,,780,750-1000,5,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/pr/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.pr.gn.v20190105.kerchunk.json,nid006762,warm,0.8482572799985064,2.1569700544932857,0.3244484300084878,3.3883590735058533,0.33485540898982435,3.33002372449846,,,,,,
CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.psl.gn.v20190105,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-HR4/hist-1950/r1i1p1f1/Amon/psl/gn/v20190105,/global/cfs/projectdirs/m4931/kerchunk/psl/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.psl.gn.v20190105.kerchunk.json,Amon,psl,True,failed,,"ReferenceNotReachable: Reference ""lat/0"" failed to fetch target https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-HR4/hist-1950/r1i1p1f1/Amon/psl/gn/v20190105/psl_Amon_CMCC-CM2-HR4_hist-1950_r1i1p1f1_gn_201303-201303.nc",780,750-1000,7,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/psl/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.psl.gn.v20190105.kerchunk.json,nid006762,warm,,,,,,,,,,,,
CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.ua.gn.kerchunk.json,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-HR4/hist-1950/r1i1p1f1/Amon/ua/gn/v20190105,/global/cfs/projectdirs/m4931/kerchunk/ua/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.ua.gn.kerchunk.json,Amon,ua,True,failed,,"ReferenceNotReachable: Reference ""lat/0"" failed to fetch target https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-HR4/hist-1950/r1i1p1f1/Amon/ua/gn/v20190105/ua_Amon_CMCC-CM2-HR4_hist-1950_r1i1p1f1_gn_198411-198411.nc",780,750-1000,10,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/ua/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.ua.gn.kerchunk.json,nid006762,warm,,,,,,,,,,,,
CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.ua.gn.v20190105,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-HR4/hist-1950/r1i1p1f1/Amon/ua/gn/v20190105,/global/cfs/projectdirs/m4931/kerchunk/ua/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.ua.gn.v20190105.kerchunk.json,Amon,ua,True,failed,,"ReferenceNotReachable: Reference ""lat/0"" failed to fetch target https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-HR4/hist-1950/r1i1p1f1/Amon/ua/gn/v20190105/ua_Amon_CMCC-CM2-HR4_hist-1950_r1i1p1f1_gn_198411-198411.nc",780,750-1000,9,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/ua/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-HR4.hist-1950.r1i1p1f1.Amon.ua.gn.v20190105.kerchunk.json,nid006762,warm,,,,,,,,,,,,
CMIP6.HighResMIP.CMCC.CMCC-CM2-VHR4.hist-1950.r1i1p1f1.Amon.hus.gn.v20180705,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-VHR4/hist-1950/r1i1p1f1/Amon/hus/gn/v20180705,/global/cfs/projectdirs/m4931/kerchunk/hus/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-VHR4.hist-1950.r1i1p1f1.Amon.hus.gn.v20180705.kerchunk.json,Amon,hus,True,failed,,"ReferenceNotReachable: Reference ""lat/0"" failed to fetch target https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-VHR4/hist-1950/r1i1p1f1/Amon/hus/gn/v20180705/hus_Amon_CMCC-CM2-VHR4_hist-1950_r1i1p1f1_gn_196106-196106.nc",780,750-1000,2,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/hus/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-VHR4.hist-1950.r1i1p1f1.Amon.hus.gn.v20180705.kerchunk.json,nid006762,warm,,,,,,,,,,,,
CMIP6.HighResMIP.CMCC.CMCC-CM2-VHR4.hist-1950.r1i1p1f1.Amon.huss.gn.v20180705,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-VHR4/hist-1950/r1i1p1f1/Amon/huss/gn/v20180705,/global/cfs/projectdirs/m4931/kerchunk/huss/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-VHR4.hist-1950.r1i1p1f1.Amon.huss.gn.v20180705.kerchunk.json,Amon,huss,True,failed,,"ReferenceNotReachable: Reference ""lat/0"" failed to fetch target https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-VHR4/hist-1950/r1i1p1f1/Amon/huss/gn/v20180705/huss_Amon_CMCC-CM2-VHR4_hist-1950_r1i1p1f1_gn_199207-199207.nc",780,750-1000,4,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/huss/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-VHR4.hist-1950.r1i1p1f1.Amon.huss.gn.v20180705.kerchunk.json,nid006762,warm,,,,,,,,,,,,
CMIP6.HighResMIP.CMCC.CMCC-CM2-VHR4.hist-1950.r1i1p1f1.Amon.pr.gn.v20180705,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-VHR4/hist-1950/r1i1p1f1/Amon/pr/gn/v20180705,/global/cfs/projectdirs/m4931/kerchunk/pr/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-VHR4.hist-1950.r1i1p1f1.Amon.pr.gn.v20180705.kerchunk.json,Amon,pr,True,ok,,,780,750-1000,6,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/pr/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-VHR4.hist-1950.r1i1p1f1.Amon.pr.gn.v20180705.kerchunk.json,nid006762,warm,1.1428838205029024,15.852235751008266,0.3269910480012186,16.54583180649206,0.337250557000516,15.705266299002687,,,,,,
CMIP6.HighResMIP.CMCC.CMCC-CM2-VHR4.hist-1950.r1i1p1f1.Amon.psl.gn.v20180705,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-VHR4/hist-1950/r1i1p1f1/Amon/psl/gn/v20180705,/global/cfs/projectdirs/m4931/kerchunk/psl/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-VHR4.hist-1950.r1i1p1f1.Amon.psl.gn.v20180705.kerchunk.json,Amon,psl,True,failed,,"ReferenceNotReachable: Reference ""lat/0"" failed to fetch target https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/HighResMIP/CMCC/CMCC-CM2-VHR4/hist-1950/r1i1p1f1/Amon/psl/gn/v20180705/psl_Amon_CMCC-CM2-VHR4_hist-1950_r1i1p1f1_gn_198606-198606.nc",780,750-1000,8,https://esgf-node.ornl.gov/thredds/fileServer/user_pub_work/kerchunk/psl/hist-1950/mon/CMIP6.HighResMIP.CMCC.CMCC-CM2-VHR4.hist-1950.r1i1p1f1.Amon.psl.gn.v20180705.kerchunk.json,nid006762,warm,,,,,,,,,,,,
