dataset_id,data_dir,kerchunk_file,frequency,variable,kerchunk_exists,status,skip_reason,error,netcdf_file_count,nfiles_bin,bin_selected_rank,file,size_gb_physical,open_kerchunk,open_netcdf,load_kerchunk,load_netcdf,temporal_build_kerchunk,temporal_build_netcdf,temporal_compute_kerchunk,temporal_compute_netcdf,temporal_graph_tasks_kerchunk,temporal_graph_tasks_netcdf,spatial_build_kerchunk,spatial_build_netcdf,spatial_compute_kerchunk,spatial_compute_netcdf,open_ratio,load_ratio,temporal_compute_ratio,spatial_compute_ratio
CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r2i1p1f1.day.tas.gr.v20191022,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r2i1p1f1/day/tas/gr/v20191022,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r2i1p1f1.day.tas.gr.v20191022.kerchunk.json,day,tas,True,ok,,,24,25-49,1,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.EC-Earth-Consortium.EC-Earth3.historical.r2i1p1f1.day.tas.gr.v20191022.kerchunk.json,3.14253718778491,0.3425701139931334,4.286590732008335,3.047902761012665,1.479716253496008,0.1836642345006112,0.3110695785144344,3.7873414490022697,1.8636333705071595,,,0.2554541935096495,0.2904264965036418,4.65223546299967,1.403419379494153,0.0799166833061839,2.05978866138128,2.0322352609363303,3.314928902204925
CMIP6.CMIP.MIROC.MIROC-ES2L.historical.r3i1p1f2.day.tas.gn.v20191129,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/MIROC/MIROC-ES2L/historical/r3i1p1f2/day/tas/gn/v20191129,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.MIROC.MIROC-ES2L.historical.r3i1p1f2.day.tas.gn.v20191129.kerchunk.json,day,tas,True,ok,,,24,25-49,2,/global/cfs/projectdirs/m4931/kerchunk/tas/historical/day/CMIP6.CMIP.MIROC.MIROC-ES2L.historical.r3i1p1f2.day.tas.gn.v20191129.kerchunk.json,0.1570435231551528,2.5416897124960087,10.9038171130087,2.371957068011397,0.3954714950086782,0.2174438254878623,0.3616994600015459,4.674134626489831,1.2056890115054557,,,2.5749360299960244,0.2832217880059033,5.151091260006069,0.8834144235006534,0.2331009119241067,5.997795284738152,3.876733205566485,5.830888791235883
CMIP6.CMIP.NCC.NorESM2-LM.piControl.r1i1p1f1.day.tas.gn.v20190920,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/day/tas/gn/v20190920,/global/cfs/projectdirs/m4931/kerchunk/tas/piControl/day/CMIP6.CMIP.NCC.NorESM2-LM.piControl.r1i1p1f1.day.tas.gn.v20190920.kerchunk.json,day,tas,True,failed,,MergeError: conflicting values for variable 'lon_bnds' on objects to be combined. You can skip this check by specifying compat='override'.,24,25-49,3,,,,,,,,,,,,,,,,,,,,
CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.1pctCO2.r1i1p1f2.day.ta.gr.v20191021,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/1pctCO2/r1i1p1f2/day/ta/gr/v20191021,/global/cfs/projectdirs/m4931/kerchunk/ta/1pctCO2/day/CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.1pctCO2.r1i1p1f2.day.ta.gr.v20191021.kerchunk.json,day,ta,True,ok,,,25,25-49,10,/global/cfs/projectdirs/m4931/kerchunk/ta/1pctCO2/day/CMIP6.CMIP.CNRM-CERFACS.CNRM-CM6-1-HR.1pctCO2.r1i1p1f2.day.ta.gr.v20191021.kerchunk.json,164.67893198598176,0.6974576784996316,44.37329778650019,6.568731655002921,13.310328102481437,0.1090695574966957,0.1338862020056694,13.643476525496226,12.673437911522342,,,0.2013505625072866,0.2175981049949769,11.037014041488874,13.468622576998314,0.0157179590720395,0.4935063662163457,1.0765410791251795,0.819461231346542
CMIP6.CMIP.MIROC.MIROC6.abrupt-4xCO2.r1i1p1f1.day.pr.gn.v20200518,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/MIROC/MIROC6/abrupt-4xCO2/r1i1p1f1/day/pr/gn/v20200518,/global/cfs/projectdirs/m4931/kerchunk/pr/abrupt-4xCO2/day/CMIP6.CMIP.MIROC.MIROC6.abrupt-4xCO2.r1i1p1f1.day.pr.gn.v20200518.kerchunk.json,day,pr,True,ok,,,25,25-49,4,/global/cfs/projectdirs/m4931/kerchunk/pr/abrupt-4xCO2/day/CMIP6.CMIP.MIROC.MIROC6.abrupt-4xCO2.r1i1p1f1.day.pr.gn.v20200518.kerchunk.json,7.938712224364281,1.2584142944979249,119.5097110265051,7.873463873998844,1.6238527225068538,0.2823603390133939,0.2548991744988598,16.323973535501864,1.6336176184995566,,,0.2663057129975641,0.2548011015023803,16.226770615001442,1.4094481610081857,0.010529807859872,4.848631753897012,9.992530290224888,11.512853799031776
CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.esm-piControl.r1i1p1f1.day.pr.gn.v20190815,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/esm-piControl/r1i1p1f1/day/pr/gn/v20190815,/global/cfs/projectdirs/m4931/kerchunk/pr/esm-piControl/day/CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.esm-piControl.r1i1p1f1.day.pr.gn.v20190815.kerchunk.json,day,pr,True,ok,,,25,25-49,5,/global/cfs/projectdirs/m4931/kerchunk/pr/esm-piControl/day/CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.esm-piControl.r1i1p1f1.day.pr.gn.v20190815.kerchunk.json,8.71447261981666,2.336716167992563,134.76321366151387,17.407507073003217,4.060654348999378,0.3071780039899749,0.2275544904987327,35.64138006600842,1.247789595494396,,,0.2910583025077358,0.2506740559911122,35.960359254997456,2.7576461670105346,0.0173394215268694,4.286872404515975,28.563613765257184,13.04023688215983
CMIP6.CMIP.NOAA-GFDL.GFDL-CM4.piControl.r1i1p1f1.day.pr.gr1.v20180701,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/day/pr/gr1/v20180701,/global/cfs/projectdirs/m4931/kerchunk/pr/piControl/day/CMIP6.CMIP.NOAA-GFDL.GFDL-CM4.piControl.r1i1p1f1.day.pr.gr1.v20180701.kerchunk.json,day,pr,True,ok,,,25,25-49,7,/global/cfs/projectdirs/m4931/kerchunk/pr/piControl/day/CMIP6.CMIP.NOAA-GFDL.GFDL-CM4.piControl.r1i1p1f1.day.pr.gr1.v20180701.kerchunk.json,28.70161699410528,2.096639088995289,33.99984002648853,17.138054368508165,1.9700234945048576,0.1180897765007102,0.1292762759985635,34.78476023249095,1.442132803495042,,,0.2806087469944032,0.2424025590153178,34.770512036498985,0.877353416493861,0.0616661457042693,8.69941623351838,24.12035850525644,39.631135392908426
CMIP6.CMIP.NOAA-GFDL.GFDL-CM4.piControl.r1i1p1f1.day.pr.gr2.v20180701,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/day/pr/gr2/v20180701,/global/cfs/projectdirs/m4931/kerchunk/pr/piControl/day/CMIP6.CMIP.NOAA-GFDL.GFDL-CM4.piControl.r1i1p1f1.day.pr.gr2.v20180701.kerchunk.json,day,pr,True,ok,,,25,25-49,8,/global/cfs/projectdirs/m4931/kerchunk/pr/piControl/day/CMIP6.CMIP.NOAA-GFDL.GFDL-CM4.piControl.r1i1p1f1.day.pr.gr2.v20180701.kerchunk.json,7.5039288233965635,2.1501282099925447,33.76948673148581,17.1578395444958,0.3829386119905393,0.1028981190029298,0.1114438024960691,34.91989115499018,1.3808050634979736,,,0.250498683511978,0.3333244514942635,35.16708854350145,2.919787972001359,0.0636707400112131,44.80571822023445,25.28951557182744,12.04439804558695
CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.esm-piControl.r1i1p1f1.day.pr.gr1.v20180701,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/esm-piControl/r1i1p1f1/day/pr/gr1/v20180701,/global/cfs/projectdirs/m4931/kerchunk/pr/esm-piControl/day/CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.esm-piControl.r1i1p1f1.day.pr.gr1.v20180701.kerchunk.json,day,pr,True,ok,,,25,25-49,6,/global/cfs/projectdirs/m4931/kerchunk/pr/esm-piControl/day/CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.esm-piControl.r1i1p1f1.day.pr.gr1.v20180701.kerchunk.json,28.6839470686391,2.124194867501501,35.0550876329944,16.964168619000702,1.92433608500869,0.1892513155034976,0.1296613024896942,34.779084463996696,1.4024953425105195,,,0.3227946199913276,0.3239194589987164,35.79307774199697,2.632569156994577,0.0605959080673407,8.815595545475672,24.79800353685369,13.596253548324428
CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.piControl.r1i1p1f1.day.pr.gr1.v20180701,/global/cfs/projectdirs/m4931/gsharing/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/piControl/r1i1p1f1/day/pr/gr1/v20180701,/global/cfs/projectdirs/m4931/kerchunk/pr/piControl/day/CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.piControl.r1i1p1f1.day.pr.gr1.v20180701.kerchunk.json,day,pr,True,ok,,,25,25-49,9,/global/cfs/projectdirs/m4931/kerchunk/pr/piControl/day/CMIP6.CMIP.NOAA-GFDL.GFDL-ESM4.piControl.r1i1p1f1.day.pr.gr1.v20180701.kerchunk.json,28.682579734362665,2.106100259014056,32.03352111848653,17.479988136488828,0.7334325825067936,0.1047124229953624,0.1328060339874355,35.904758606498945,1.384473636499024,,,0.2501890535204438,0.2410304145159898,37.587615796990576,1.063267931516748,0.0657467610639476,23.83312188932773,25.93386949374695,35.35102929641824
