difference,filename
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_195001-195012.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_195301-195312.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_196201-196212.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_196501-196512.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_197001-197012.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_197801-197812.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_198401-198412.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_198701-198712.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_198801-198812.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_199101-199112.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_199601-199612.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_199901-199912.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_200301-200312.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_200401-200412.nc
local_only,pr_Amon_ECMWF-IFS-HR_highresSST-present_r5i1p1f1_gr_200701-200712.nc
