comparison,coordinate,count
exact_netcdf_only,1980-01-16 12:00:00,1
exact_netcdf_only,1980-02-15 12:00:00,1
exact_netcdf_only,1982-02-15 00:00:00,1
exact_netcdf_only,1982-03-16 12:00:00,1
exact_netcdf_only,1982-04-16 00:00:00,1
exact_netcdf_only,1982-05-16 12:00:00,1
exact_netcdf_only,1982-06-16 00:00:00,1
exact_netcdf_only,1982-07-16 12:00:00,1
exact_netcdf_only,1982-08-16 12:00:00,1
exact_netcdf_only,1982-09-16 00:00:00,1
exact_netcdf_only,1982-10-16 12:00:00,1
exact_netcdf_only,1982-11-16 00:00:00,1
exact_netcdf_only,1982-12-16 12:00:00,1
exact_netcdf_only,1983-01-16 12:00:00,1
exact_netcdf_only,1983-02-15 00:00:00,1
exact_netcdf_only,1983-03-16 12:00:00,1
exact_netcdf_only,1983-04-16 00:00:00,1
exact_netcdf_only,1983-05-16 12:00:00,1
exact_netcdf_only,1983-06-16 00:00:00,1
exact_netcdf_only,1983-07-16 12:00:00,1
exact_netcdf_only,1983-08-16 12:00:00,1
exact_netcdf_only,1983-09-16 00:00:00,1
exact_netcdf_only,1983-10-16 12:00:00,1
exact_netcdf_only,1983-11-16 00:00:00,1
exact_netcdf_only,1983-12-16 12:00:00,1
exact_netcdf_only,1984-01-16 12:00:00,1
exact_netcdf_only,1984-02-15 12:00:00,1
exact_netcdf_only,1985-01-16 12:00:00,1
exact_netcdf_only,1985-02-15 00:00:00,1
exact_netcdf_only,1985-03-16 12:00:00,1
exact_netcdf_only,1985-04-16 00:00:00,1
exact_netcdf_only,1985-05-16 12:00:00,1
exact_netcdf_only,1985-06-16 00:00:00,1
exact_netcdf_only,1985-07-16 12:00:00,1
exact_netcdf_only,1985-08-16 12:00:00,1
exact_netcdf_only,1985-09-16 00:00:00,1
exact_netcdf_only,1985-10-16 12:00:00,1
exact_netcdf_only,1985-11-16 00:00:00,1
exact_netcdf_only,1985-12-16 12:00:00,1
exact_netcdf_only,1986-01-16 12:00:00,1
exact_netcdf_only,1986-02-15 00:00:00,1
exact_netcdf_only,1986-03-16 12:00:00,1
exact_netcdf_only,1986-04-16 00:00:00,1
exact_netcdf_only,1986-05-16 12:00:00,1
exact_netcdf_only,1986-06-16 00:00:00,1
exact_netcdf_only,1986-07-16 12:00:00,1
exact_netcdf_only,1986-08-16 12:00:00,1
exact_netcdf_only,1986-09-16 00:00:00,1
exact_netcdf_only,1986-10-16 12:00:00,1
exact_netcdf_only,1986-11-16 00:00:00,1
exact_netcdf_only,1986-12-16 12:00:00,1
exact_netcdf_only,1987-01-16 12:00:00,1
exact_netcdf_only,1987-02-15 00:00:00,1
exact_netcdf_only,1987-03-16 12:00:00,1
exact_netcdf_only,1987-04-16 00:00:00,1
exact_netcdf_only,1987-05-16 12:00:00,1
exact_netcdf_only,1987-06-16 00:00:00,1
exact_netcdf_only,1987-07-16 12:00:00,1
exact_netcdf_only,1987-08-16 12:00:00,1
exact_netcdf_only,1987-09-16 00:00:00,1
exact_netcdf_only,1987-10-16 12:00:00,1
exact_netcdf_only,1987-11-16 00:00:00,1
exact_netcdf_only,1987-12-16 12:00:00,1
exact_netcdf_only,1988-01-16 12:00:00,1
exact_netcdf_only,1988-02-15 12:00:00,1
exact_netcdf_only,1988-03-16 12:00:00,1
exact_netcdf_only,1988-04-16 00:00:00,1
exact_netcdf_only,1988-05-16 12:00:00,1
exact_netcdf_only,1988-06-16 00:00:00,1
exact_netcdf_only,1988-07-16 12:00:00,1
exact_netcdf_only,1988-08-16 12:00:00,1
exact_netcdf_only,1988-09-16 00:00:00,1
exact_netcdf_only,1988-10-16 12:00:00,1
exact_netcdf_only,1988-11-16 00:00:00,1
exact_netcdf_only,1988-12-16 12:00:00,1
exact_netcdf_only,1989-01-16 12:00:00,1
exact_netcdf_only,1989-02-15 00:00:00,1
exact_netcdf_only,1989-03-16 12:00:00,1
exact_netcdf_only,1989-04-16 00:00:00,1
exact_netcdf_only,1989-05-16 12:00:00,1
exact_netcdf_only,1989-06-16 00:00:00,1
exact_netcdf_only,1989-07-16 12:00:00,1
exact_netcdf_only,1989-08-16 12:00:00,1
exact_netcdf_only,1989-09-16 00:00:00,1
exact_netcdf_only,1989-10-16 12:00:00,1
exact_netcdf_only,1989-11-16 00:00:00,1
exact_netcdf_only,1989-12-16 12:00:00,1
exact_netcdf_only,1990-01-16 12:00:00,1
exact_netcdf_only,1990-02-15 00:00:00,1
exact_netcdf_only,1990-03-16 12:00:00,1
exact_netcdf_only,1990-04-16 00:00:00,1
exact_netcdf_only,1990-05-16 12:00:00,1
exact_netcdf_only,1990-06-16 00:00:00,1
exact_netcdf_only,1990-07-16 12:00:00,1
