pkg,gb,api,runtime_serial
cdat,7,climatology,2988.458557
cdat,12,climatology,no_bounds
cdat,22,climatology,11936.734841
cdat,50,climatology,536.826338
cdat,74,climatology,13930.932582
cdat,105,climatology,???
cdat,7,departures,3033.306605
cdat,12,departures,no_bounds
cdat,22,departures,9103.577481
cdat,50,departures,501.537445
cdat,74,departures,14584.977668
cdat,105,departures,9343.02234
cdat,7,temporal_avg,137.492102
cdat,12,temporal_avg,no_bounds
cdat,22,temporal_avg,1246.093812
cdat,50,temporal_avg,2602.860039
cdat,74,temporal_avg,1270.081456
cdat,105,temporal_avg,Unable to allocate 61.9 GiB for an array with shape
